borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
2690,Yokohama Rubber Co Ltd,,Japan,Consumer Discretionary,Yokohama Rubber Co Ltd,,,
2691,IHI Corp,,Japan,Industrials,IHI Corp,,,
2692,PT Tamaris Hidro,,Indonesia,Utilities,Salim Group,,,
2693,PT Integra Indocabinet Tbk,,Indonesia,Consumer Discretionary,PT Integra Indocabinet Tbk,,,
2694,PT Mayora Indah,,Indonesia,Consumer Staples,PT Mayora Indah,,,
2695,Jiangsu Sheyang Rice Group Co Ltd,,China,Consumer Staples,Jiangsu Sheyang Rice Group Co Ltd,,,
2696,SDIC,,China,Utilities,SDIC,,,
2697,Jianghai Securities Co Ltd,,China,Financials,Harbin Hatou Investment Co Ltd,,,
2698,Jiangsu State Agribusiness Group Corp Ltd,,China,Consumer Staples,Jiangsu State Agribusiness Group Corp Ltd,,,
2699,Fujian Expressway Development Co Ltd,,China,Industrials,Fujian Expressway Development Co Ltd,,,
2700,Baosteel,,China,Materials,China Baowu Steel Group Corp Ltd,,,
2701,Ayala Corp,,Philippines,noinfo,Ayala Corp,,,
2702,AGI,,Indonesia,Utilities,PT Samator Indo Gas Tbk,,,
2703,PT Bumi Serpong Damai Tbk,,Indonesia,Real Estate,Widjaja Family Master Trust (2),,,
2704,Mitsubishi Chemical Holdings Corp,,Japan,Materials,Mitsubishi Chemical Group Corp,,,
2705,ESR-LOGOS REIT,,Singapore,Real Estate,ESR Group Ltd,,,
2706,JFE Holdings Inc,,Japan,Materials,JFE Holdings Inc,,,
2707,Nagase & Co Ltd,,Japan,Materials,Nagase & Co Ltd,,,
2708,Jingming Yuantong Development Investment (BVI) Co Ltd,,China,Utilities,Qingdao Jimo City Tourism Development Investment Co Ltd,,,
2709,Liyuan International Co Ltd,,China,Industrials,Nanjing Lishui Economics & Technology Development Group Co Ltd,,,
2710,CMST Development Co Ltd,,China,Industrials,China Chengtong Holdings Group Ltd,,,
2711,Hefei Construction Investment & Holding Co Ltd,,China,Consumer Discretionary,Hefei Construction Investment & Holding Co Ltd,,,
2712,State Grid Information & Telecommunication Group Co Ltd,,China,Communication Services,State Grid Corp of China,,,
2713,Sichuan Chuantou Energy Co Ltd,,China,Utilities,Sichuan Provincial Investment Group Co Ltd,,,
2714,China Pingmei Shenma Group,,China,Materials,China Pingmei Shenma Group,,,
2715,Shanghai New Changning (Group) Co Ltd,,China,Real Estate,Shanghai New Changning (Group) Co Ltd,,,
